000001	平安银行	12.00	0.43	3.72	11.53	12.33	11.43	11.57	     7.33	1569553152	  3.29	          2.35	深圳	银行	     557590.19	        669.11亿	20140111	9491300.00	94.89	0.00	331200.00	
000002	万  科Ａ	7.55	0.04	0.53	7.50	7.62	7.43	7.51	    10.12	816144128	  1.88	          1.12	深圳	房地产开发	     967494.13	        730.46亿	20131030	6826564.00	79.54	44163980.00	163709.52	
000004	国农科技	12.56	-0.04	-0.32	12.60	12.68	12.50	12.60	   890.83	19450718	  1.61	          1.85	深圳	生物制品	       8387.54	         10.53亿	20131026	7834.53	28.62	15902.94	4329.88	
000005	世纪星源	2.42	0.01	0.41	2.41	2.43	2.39	2.41	--  	13307010	  1.78	          0.60	深圳	房地产开发	      91374.29	         22.11亿	20131030	65309.91	42.88	19059.87	2285.21	
000006	深振业Ａ	4.56	0.06	1.33	4.50	4.58	4.48	4.50	    12.85	81849144	  1.78	          1.35	深圳	房地产开发	     133595.30	         60.92亿	20131025	375897.06	64.40	898401.19	511.13	
000007	零七股份	13.56	-0.04	-0.29	13.64	13.65	13.44	13.60	    59.86	29877850	  2.00	          1.19	深圳	有色金属	      18483.16	         25.06亿	20131024	29626.79	48.11	41626.69	8294.03	
000008	宝利来	8.83	-0.01	-0.11	8.80	8.88	8.80	8.84	   118.10	7856351	  1.19	          0.60	深圳	酒店	      14730.62	         13.01亿	20140111	55785.11	10.01	19092.44	34439.55	
000009	中国宝安	10.60	0.07	0.66	10.72	10.88	10.29	10.53	    32.11	645502144	  2.54	          4.92	深圳	综合	     124139.09	        131.59亿	20131029	329417.59	63.25	1008656.19	136776.38	
000010	深华新	7.25	0.03	0.42	7.18	7.35	7.18	7.22	   362.55	37284240	  1.29	          1.89	北京	综合	      27117.53	         19.66亿	20131205	62604.21	39.24	102594.76	4148.80	
000011	深物业A	7.40	0.02	0.27	7.38	7.44	7.32	7.38	     9.28	23621252	  2.15	          1.82	深圳	房地产开发	      17586.25	         13.01亿	20140107	185867.02	50.86	303445.19	7478.55	
000012	南  玻Ａ	8.25	-0.06	-0.72	8.32	8.33	8.15	8.31	    20.46	187492080	  1.38	          1.74	深圳	建筑材料	     130364.15	        107.55亿	20131205	712928.69	52.64	317106.28	908094.19	
000014	沙河股份	9.78	0.13	1.35	9.64	9.79	9.60	9.65	--  	39596888	  1.55	          2.02	深圳	房地产开发	      20170.51	         19.73亿	20131029	56875.98	67.18	169772.11	2851.15	
000016	深康佳Ａ	4.14	-0.01	-0.24	4.13	4.23	4.09	4.15	    89.92	56301904	  1.05	          2.26	深圳	视听器材	      59991.50	         24.84亿	20131030	407525.56	73.45	1289187.38	191454.09	
